"Ref_Date","GEO","Geographical_classification","VIOLATIONS","sum_Value_Actual_incidents","sum_Value_Cleared_by_charge","sum_Value_Cleared_otherwise","sum_Value_Percentage_change_in_rate","sum_Value_Rate_per_100_000_population","sum_Value_Rate_adult_charged_per_100_000_population_aged_18_years_and_over","sum_Value_Rate_total_persons_charged_per_100_000_population_aged_12_years_and_over","sum_Value_Rate_youth_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Rate_youth_not_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Total_cleared","sum_Value_Total_adult_charged","sum_Value_Total_persons_charged","sum_Value_Total_youth_charged","sum_Value_Total_youth_not_charged"
"2012","Medicine Hat, Alberta, municipal","48062","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","15","13","1","14","23.9","42.21","40.65","22.84","0","14","21","22","1","0"
"2013","Medicine Hat, Alberta, municipal","48062","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","10","7","0","-34.15","15.74","35.71","32.87","0","0","7","18","18","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","9","9","0","-10.78","14.04","23.57","21.72","0","0","9","12","12","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","33","31","0","263.88","51.1","107.33","98.95","0","0","31","55","55","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","48","46","0","44.57","73.88","149.61","141.51","45.86","0","46","77","79","2","0"
"1998","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","1","1","0","0","1.7","4.31","3.93","0","0","1","2","2","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Heroin, trafficking","2","2","0","0","3.08","11.66","10.75","0","0","2","6","6","0","0"
"1998","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","22","22","0","0","44.27","0","0","0","0","22","24","24","0","0"
"1999","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","9","7","0","-59.86","17.77","0","0","0","0","7","10","11","1","0"
"2000","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","6","6","0","-34.83","11.58","0","0","0","0","6","5","6","1","0"
"2001","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","3","1","0","-50.72","5.71","0","0","0","0","1","1","1","0","0"
"2002","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","3","3","0","-1.56","5.62","0","0","0","0","3","4","7","3","1"
"2003","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","5","3","0","64.26","9.23","0","0","0","0","3","4","4","0","0"
"2004","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","2","2","0","-61.19","3.58","2.29","2.08","0","0","2","1","1","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","10","10","0","386.42","17.42","15.55","16.15","22.2","22.2","10","7","8","1","1"
"2006","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","8","7","0","-22.09","13.57","21.55","19.64","0","0","7","10","10","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","7","6","1","-14.54","11.6","16.79","15.35","0","0","7","8","8","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","2","2","0","-71.88","3.26","8.25","7.55","0","0","2","4","4","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","6","6","0","196.8","9.68","14.25","16.82","45.68","0","6","7","9","2","0"
"2010","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","16","9","2","166.63","25.8","16.29","14.97","0","0","11","8","8","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","7","6","0","-56.24","11.29","16.29","14.96","0","0","6","8","8","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","10","10","0","41.15","15.94","28.14","27.71","22.84","0","10","14","15","1","0"
"2013","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","9","6","0","-11.11","14.17","27.78","25.56","0","0","6","14","14","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","6","7","0","-33.91","9.36","17.68","16.29","0","0","7","9","9","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","8","7","0","32.32","12.39","21.47","19.79","0","0","7","11","11","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, trafficking","7","7","0","-13.03","10.77","29.15","28.66","22.93","0","7","15","16","1","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","1","1","0","0","1.63","4.12","3.78","0","0","1","2","2","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","4","3","1","0","6.37","14.07","12.93","0","0","4","7","7","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","1","1","0","-75.31","1.57","7.94","7.3","0","0","1","4","4","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","2","2","0","98.28","3.12","5.89","5.43","0","0","2","3","3","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","25","24","0","1140.51","38.72","85.86","79.16","0","0","24","44","44","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), trafficking","39","37","0","55.05","60.03","108.81","102.1","22.93","0","37","56","57","1","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","1","1","0","0","1.63","2.06","1.89","0","0","1","1","1","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","7","7","0","592.54","11.29","20.36","24.3","68.52","0","7","10","13","3","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","2","2","0","-71.43","3.23","2.04","1.87","0","0","2","1","1","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","1","1","0","-49.99","1.61","2.04","1.87","0","0","1","1","1","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), trafficking","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Heroin, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","1","0","0","0","1.56","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), importation and exportation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Heroin, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","9","9","0","0","14.52","38.68","37.39","22.84","0","9","19","20","1","0"
"2010","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","3","3","0","-66.67","4.84","12.22","13.09","22.93","0","3","6","7","1","0"
"2011","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","5","4","0","66.69","8.06","10.18","11.22","22.94","0","4","5","6","1","0"
"2012","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","1","0","0","-80.24","1.59","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Other Controlled Drugs and Substances Act, production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methamphetamines (crystal meth), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Medicine Hat, Alberta, municipal","48062","Methylenedioxyamphetamine (ecstasy), production","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Medicine Hat, Alberta, municipal","48062","Precursor or equipment (crystal meth, ecstasy)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
